S2 swimming 2017-05-18 14:56:28.477
Oz1234 Beck1 120.91 10
Oz1235 Beckr2 171.49 4
Oz1234 Beck3 120.91 20
Oz1235 Beckr4 171.49 8
Oz1234 Beck5 120.91 10
Oz1235 Beckr6 171.49 4

R1 running 2017-05-18 14:56:41.101
Oz1239 Bewck4 10.86 10
Oz1240 Berck5 17.45 7
Oz1241 Beqck6 18.86 3
Oz1239 Bewck7 10.86 15
Oz1240 Berck8 17.45 12

S1 swimming 2017-05-18 15:12:00.422
Oz1234 Beck3 174.1 2
Oz1235 Beckr4 126.23 5
Oz1234 Beck5 174.1 7
Oz1235 Beckr6 126.23 10

S1 swimming 2017-05-18 15:13:21.719
Oz1234 Beck1 140.33 5
Oz1235 Beckr2 174.0 2
Oz1234 Beck3 140.33 10
Oz1235 Beckr4 174.0 4

S1 swimming 2017-05-19 02:24:28.901
Oz0091 Hannah 176.71 3
Oz1234 Beck1 106.35 10
Oz1235 Beckr2 171.63 4
Oz1234 Beck3 106.35 15
Oz1235 Beckr4 171.63 6
Oz1234 Beck5 106.35 15
Oz1234 Beck7 106.35 15

S1 swimming 2017-05-19 16:21:42.855
Oz1234 Beck3 100.13 5
Oz1235 Beckr4 165.38 2
Oz1234 Beck5 100.13 10
Oz1235 Beckr6 165.38 4

S1 swimming 2017-05-21 11:10:42.391
Oz1234 Beck1 156.29 2
Oz1235 Beckr2 154.5 5
Oz1234 Beck3 156.29 7
Oz1235 Beckr4 154.5 10
Oz1234 Beck5 156.29 7

S1 swimming 2017-05-21 11:21:55.771
Oz1235 Beckr2 161.7 2
Oz1234 Beck3 116.74 5
Oz1235 Beckr4 161.7 4
Oz1234 Beck5 116.74 10
Oz1235 Beckr6 161.7 4

R1 running 2017-05-21 12:04:29.392
Oz1236 Befck1 15.97 3
Oz1237 Bedck2 11.48 20
Oz1238 Besck3 14.99 9
Oz1239 Bewck4 15.27 8
Oz1240 Berck5 14.33 14

R1 running 2017-05-21 12:05:30.546
Oz1235 Beckr 15.27 10
Oz1236 Befck1 18.53 3
Oz1237 Bedck2 15.83 8
Oz1238 Besck3 11.16 20
Oz1239 Bewck4 12.15 14

S1 swimming 2017-05-21 12:10:22.692
Oz1234 Beck1 136.57 2
Oz1235 Beckr2 121.87 5
Oz1234 Beck3 136.57 7
Oz1235 Beckr4 121.87 10
Oz1234 Beck5 136.57 7

S1 swimming 2017-05-21 12:15:40.688
Oz1234 Beck1 193.72 5
Oz1235 Beckr2 200.8 2
Oz1234 Beck3 193.72 10
Oz1235 Beckr4 200.8 4
Oz1234 Beck5 193.72 10

S1 swimming 2017-05-21 12:17:16.937
Oz1234 Beck1 179.64 2
Oz1235 Beckr2 127.26 5
Oz1234 Beck3 179.64 7
Oz1235 Beckr4 127.26 10
Oz1234 Beck5 179.64 7

S1 swimming 2017-05-21 12:18:47.450
Oz1235 Beckr2 170.5 2
Oz1234 Beck3 118.75 5
Oz1235 Beckr4 170.5 4
Oz1234 Beck5 118.75 10
Oz1235 Beckr6 170.5 4

R1 running 2017-05-21 12:20:01.378
Oz1236 Befck1 17.07 3
Oz1237 Bedck2 16.93 8
Oz1238 Besck3 10.1 25
Oz1239 Bewck4 11.64 19
Oz1240 Berck5 14.82 15
Oz1241 Beqck6 14.93 9
Oz1239 Bewck7 11.64 21
Oz1240 Berck8 14.82 20

R1 running 2017-05-21 12:22:06.578
Oz1235 Beckr 17.29 8
Oz1236 Befck1 19.05 3
Oz1237 Bedck2 17.9 8
Oz1238 Besck3 16.39 15
Oz1239 Bewck4 16.84 13
Oz1240 Berck5 11.08 30
Oz1241 Beqck6 14.91 18

R1 running 2017-05-21 12:24:21.439
Oz1236 Befck1 11.26 20
Oz1237 Bedck2 12.17 8
Oz1238 Besck3 17.56 6
Oz1239 Bewck4 18.4 5
Oz1240 Berck5 19.38 3

R1 running 2017-05-21 12:25:26.889
Oz1236 Befck1 18.28 3
Oz1237 Bedck2 10.32 25
Oz1238 Besck3 16.63 8
Oz1239 Bewck4 20.89 3
Oz1240 Berck5 12.38 19
Oz1241 Beqck6 13.27 11

R1 running 2017-05-21 12:26:22.551
Oz1235 Beckr 13.3 14
Oz1236 Befck1 13.73 6
Oz1237 Bedck2 10.21 20
Oz1238 Besck3 16.17 3
Oz1239 Bewck4 14.7 4

R1 running 2017-05-21 12:29:12.553
Oz1237 Bedck2 15.43 17
Oz1238 Besck3 17.0 8
Oz1239 Bewck4 10.36 20
Oz1240 Berck5 16.59 13
Oz1241 Beqck6 20.57 3
Oz1239 Bewck7 10.36 25

R1 running 2017-05-21 12:35:19.668
Oz0091 Hannah 14.13 10
Oz1235 Beckr 13.37 18
Oz1236 Befck1 14.96 5
Oz1237 Bedck2 13.78 11
Oz1238 Besck3 11.91 30
Oz1239 Bewck4 13.37 21
Oz1240 Berck5 19.83 3

R1 running 2017-05-21 12:37:16.489
Oz1236 Befck1 19.8 3
Oz1237 Bedck2 11.97 22
Oz1238 Besck3 12.29 18
Oz1239 Bewck4 10.63 25
Oz1240 Berck5 15.78 13
Oz1241 Beqck6 16.81 8

R1 running 2017-05-21 12:51:44.662
Oz1235 Beckr 18.51 8
Oz1236 Befck1 20.88 3
Oz1237 Bedck2 18.11 13
Oz1238 Besck3 10.57 20
Oz1239 Bewck4 17.25 14

R1 running 2017-05-21 13:05:45.073
Oz1235 Beckr 18.18 9
Oz1236 Befck1 16.36 22
Oz1237 Bedck2 19.43 3
Oz1238 Besck3 18.89 5
Oz1239 Bewck4 14.64 25
Oz1240 Berck5 19.06 3

R1 running 2017-05-21 13:10:57.737
Oz1235 Beckr 17.83 7
Oz1236 Befck1 17.6 18
Oz1237 Bedck2 15.54 23
Oz1238 Besck3 15.2 30
Oz1239 Bewck4 15.21 24
Oz1240 Berck5 18.64 4
Oz1241 Beqck6 19.22 3

R1 running 2017-05-21 13:14:00.862
Oz0091 Hannah 18.4 4
Oz1235 Beckr 11.02 20
Oz1236 Befck1 12.48 6
Oz1237 Bedck2 12.3 11
Oz1238 Besck3 20.73 3

R1 running 2017-05-21 13:14:53.359
Oz1235 Beckr 19.17 6
Oz1236 Befck1 17.26 14
Oz1237 Bedck2 12.2 20
Oz1238 Besck3 20.78 3
Oz1239 Bewck4 19.45 4

R1 running 2017-05-21 13:27:18.959
Oz0091 Hannah 10.35 20
Oz1235 Beckr 20.16 3
Oz1236 Befck1 10.43 17
Oz1237 Bedck2 16.78 5
Oz1238 Besck3 13.8 7

R1 running 2017-05-21 13:28:18.310
Oz1235 Beckr 17.9 4
Oz1236 Befck1 12.17 20
Oz1237 Bedck2 20.08 3
Oz1238 Besck3 17.32 7
Oz1239 Bewck4 15.65 8

R1 running 2017-05-21 13:29:18.031
Oz1236 Befck1 19.83 3
Oz1237 Bedck2 11.5 20
Oz1238 Besck3 13.07 14
Oz1239 Bewck4 16.51 8
Oz1240 Berck5 14.82 9

R1 running 2017-05-21 13:35:07.256
Oz1236 Befck1 12.61 19
Oz1237 Bedck2 12.04 25
Oz1238 Besck3 13.75 8
Oz1239 Bewck4 15.03 7
Oz1240 Berck5 19.15 5
Oz1241 Beqck6 20.52 3

R1 running 2017-05-21 13:36:33.310
Oz1235 Beckr 14.25 3
Oz1236 Befck1 13.19 13
Oz1237 Bedck2 10.79 17
Oz1238 Besck3 14.08 5
Oz1239 Bewck4 10.28 20

R1 running 2017-05-21 13:39:49.425
Oz1235 Beckr 12.28 8
Oz1236 Befck1 10.05 20
Oz1237 Bedck2 15.86 4
Oz1238 Besck3 16.38 3
Oz1239 Bewck4 12.77 5

R1 running 2017-05-21 13:44:29.362
Oz0091 Hannah 17.88 5
Oz1235 Beckr 13.31 20
Oz1236 Befck1 15.02 8
Oz1237 Bedck2 20.11 3
Oz1238 Besck3 19.42 4

R1 running 2017-05-21 13:47:16.739
Oz1237 Bedck2 11.25 20
Oz1238 Besck3 18.82 3
Oz1239 Bewck4 15.53 7
Oz1240 Berck5 15.99 5
Oz1241 Beqck6 13.63 14

R1 running 2017-05-21 13:48:15.668
Oz1236 Befck1 19.93 3
Oz1237 Bedck2 12.13 9
Oz1238 Besck3 10.67 20
Oz1239 Bewck4 19.1 8
Oz1240 Berck5 11.18 11

R1 running 2017-05-21 13:51:59.607
Oz1237 Bedck2 13.69 20
Oz1238 Besck3 16.73 13
Oz1239 Bewck4 15.57 17
Oz1240 Berck5 18.89 3
Oz1241 Beqck6 18.19 8

R1 running 2017-05-21 13:53:13.130
Oz1236 Befck1 16.79 3
Oz1237 Bedck2 10.84 20
